generation,id,fitness,species,parent1,parent2,timestep
0,5,0.7485821856929966,1,-1,-1,
1,173,0.7491568872879157,3,99,37,
2,404,0.7498521709545278,1,270,186,
3,404,0.7498521709545278,1,270,186,
4,601,0.7506822435959666,4,299,448,
5,809,0.7888278290341328,2,404,679,
6,938,0.7913015460154085,4,830,601,
7,1088,0.7972708474859341,2,809,930,
8,1226,0.8257175103370769,4,1113,1113,
9,1226,0.8257175103370769,4,1113,1113,
10,1226,0.8257175103370769,4,1113,1113,
11,1701,0.829532545844689,4,1558,1226,
12,1799,0.8316610296309674,2,1663,1663,
13,1799,0.8316610296309674,2,1663,1663,
14,1799,0.8316610296309674,2,1663,1663,
15,1799,0.8316610296309674,2,1663,1663,
16,1799,0.8316610296309674,2,1663,1663,
17,1799,0.8316610296309674,2,1663,1663,
18,1799,0.8316610296309674,2,1663,1663,
19,1799,0.8316610296309674,2,1663,1663,
20,2858,0.8381066082076654,2,2706,2706,
21,3120,0.8588628708561128,1,2846,2876,
22,3120,0.8588628708561128,3,2846,2876,
23,3360,0.9623494735581652,3,2000,3120,
24,3360,0.9623494735581652,3,2000,3120,
25,3360,0.9623494735581652,3,2000,3120,
26,3360,0.9623494735581652,3,2000,3120,
27,3360,0.9623494735581652,3,2000,3120,
28,3360,0.9623494735581652,3,2000,3120,
29,3360,0.9623494735581652,2,2000,3120,
30,4361,0.9959652552407147,2,4235,4240,
