generation,id,fitness,species,parent1,parent2,timestep
0,87,0.7490661236938794,1,-1,-1,
1,87,0.7490661236938794,2,-1,-1,
2,87,0.7490661236938794,2,-1,-1,
3,445,0.7862057657367509,2,431,189,
4,445,0.7862057657367509,2,431,189,
5,445,0.7862057657367509,2,431,189,
6,996,0.8196752761943547,2,836,860,
7,996,0.8196752761943547,2,836,860,
8,996,0.8196752761943547,2,836,860,
9,996,0.8196752761943547,2,836,860,
10,996,0.8196752761943547,2,836,860,
11,996,0.8196752761943547,2,836,860,
12,1841,0.8320488433283366,2,1681,996,
13,1947,0.8556253494907844,2,1793,1572,
14,1947,0.8556253494907844,2,1793,1572,
15,1947,0.8556253494907844,2,1793,1572,
16,1947,0.8556253494907844,2,1793,1572,
17,2523,0.8634674917091216,2,1947,2371,
18,2523,0.8634674917091216,2,1947,2371,
19,2523,0.8634674917091216,2,1947,2371,
20,2523,0.8634674917091216,2,1947,2371,
21,2523,0.8634674917091216,2,1947,2371,
22,2523,0.8634674917091216,2,1947,2371,
23,2523,0.8634674917091216,2,1947,2371,
24,2523,0.8634674917091216,2,1947,2371,
25,2523,0.8634674917091216,2,1947,2371,
26,2523,0.8634674917091216,2,1947,2371,
27,2523,0.8634674917091216,2,1947,2371,
28,2523,0.8634674917091216,3,1947,2371,
29,4251,0.8646918540432587,2,4112,2523,
30,4251,0.8646918540432587,3,4112,2523,
31,4473,0.8692283944308411,2,4399,4394,
32,4627,0.871211378563505,3,2523,2523,
33,4627,0.871211378563505,3,2523,2523,
34,4978,0.8736362300002942,2,4807,4251,
35,4978,0.8736362300002942,2,4807,4251,
36,4978,0.8736362300002942,2,4807,4251,
37,4978,0.8736362300002942,2,4807,4251,
38,4978,0.8736362300002942,2,4807,4251,
39,4978,0.8736362300002942,2,4807,4251,
40,4978,0.8736362300002942,2,4807,4251,
41,4978,0.8736362300002942,2,4807,4251,
42,4978,0.8736362300002942,2,4807,4251,
43,4978,0.8736362300002942,2,4807,4251,
44,4978,0.8736362300002942,2,4807,4251,
45,4978,0.8736362300002942,2,4807,4251,
46,4978,0.8736362300002942,2,4807,4251,
47,6766,0.8747183983858162,3,6680,5306,
48,6766,0.8747183983858162,3,6680,5306,
49,6766,0.8747183983858162,3,6680,5306,
50,7226,0.8868323312927361,3,7086,6766,
51,7341,0.9996395309735672,2,7197,7230,
52,7341,0.9996395309735672,2,7197,7230,
53,7669,0.9999554105232492,2,7509,7509,
54,7669,0.9999554105232492,2,7509,7509,
55,7669,0.9999554105232492,2,7509,7509,
56,7669,0.9999554105232492,2,7509,7509,
57,7669,0.9999554105232492,2,7509,7509,
58,7669,0.9999554105232492,2,7509,7509,
59,7669,0.9999554105232492,2,7509,7509,
60,7669,0.9999554105232492,2,7509,7509,
61,7669,0.9999554105232492,2,7509,7509,
62,7669,0.9999554105232492,2,7509,7509,
63,9074,0.9999844767427328,2,8943,8673,
64,9074,0.9999844767427328,2,8943,8673,
65,9074,0.9999844767427328,2,8943,8673,
66,9074,0.9999844767427328,2,8943,8673,
67,9074,0.9999844767427328,2,8943,8673,
68,9796,0.9999981616790707,2,9638,7669,
69,9895,0.9999996852110612,2,9802,9769,
70,9895,0.9999996852110612,2,9802,9769,
71,9895,0.9999996852110612,2,9802,9769,
72,9895,0.9999996852110612,2,9802,9769,
73,9895,0.9999996852110612,2,9802,9769,
74,9895,0.9999996852110612,2,9802,9769,
75,9895,0.9999996852110612,2,9802,9769,
76,9895,0.9999996852110612,2,9802,9769,
77,9895,0.9999996852110612,2,9802,9769,
78,9895,0.9999996852110612,2,9802,9769,
79,11351,0.9999999701797129,2,11224,10943,
80,11487,0.9999999797811389,2,10943,10943,
81,11648,0.9999999971262187,2,11487,11487,
82,11648,0.9999999971262187,2,11487,11487,
83,11648,0.9999999971262187,2,11487,11487,
84,11648,0.9999999971262187,2,11487,11487,
85,11648,0.9999999971262187,2,11487,11487,
86,11648,0.9999999971262187,2,11487,11487,
87,12423,0.999999999847493,3,12160,12160,
88,12423,0.999999999847493,3,12160,12160,
89,12423,0.999999999847493,3,12160,12160,
90,12423,0.999999999847493,3,12160,12160,
91,12423,0.999999999847493,3,12160,12160,
92,12423,0.999999999847493,3,12160,12160,
93,12423,0.999999999847493,3,12160,12160,
94,12423,0.999999999847493,3,12160,12160,
95,12423,0.999999999847493,3,12160,12160,
96,12423,0.999999999847493,3,12160,12160,
97,12423,0.999999999847493,3,12160,12160,
98,12423,0.999999999847493,3,12160,12160,
99,12423,0.999999999847493,3,12160,12160,
100,12423,0.999999999847493,3,12160,12160,
101,12423,0.999999999847493,3,12160,12160,
102,12423,0.999999999847493,3,12160,12160,
103,12423,0.999999999847493,3,12160,12160,
104,12423,0.999999999847493,3,12160,12160,
105,12423,0.999999999847493,3,12160,12160,
106,15157,0.9999999999685053,3,15051,15018,
107,15157,0.9999999999685053,3,15051,15018,
108,15424,0.9999999999867254,2,15133,15133,
109,15424,0.9999999999867254,2,15133,15133,
110,15424,0.9999999999867254,2,15133,15133,
111,15845,0.999999999992648,3,15572,15725,
112,15845,0.999999999992648,3,15572,15725,
113,15845,0.999999999992648,3,15572,15725,
114,16316,0.9999999999984165,3,15845,15845,
115,16316,0.9999999999984165,3,15845,15845,
116,16316,0.9999999999984165,3,15845,15845,
117,16316,0.9999999999984165,3,15845,15845,
118,16316,0.9999999999984165,3,15845,15845,
119,16316,0.9999999999984165,3,15845,15845,
120,16316,0.9999999999984165,3,15845,15845,
121,16316,0.9999999999984165,3,15845,15845,
122,17441,0.999999999998866,3,16316,16316,
123,17573,0.9999999999993966,3,16606,17431,
124,17726,0.9999999999995209,3,17583,17573,
125,17726,0.9999999999995209,3,17583,17573,
126,18027,0.9999999999996338,3,17726,17573,
127,18027,0.9999999999996338,3,17726,17573,
128,18308,0.99999999999988,3,18146,18027,
129,18455,0.9999999999999633,3,18308,18308,
130,18455,0.9999999999999633,3,18308,18308,
131,18719,0.9999999999999942,3,18584,18455,
132,18719,0.9999999999999942,3,18584,18455,
133,18719,0.9999999999999942,3,18584,18455,
134,18719,0.9999999999999942,3,18584,18455,
135,18719,0.9999999999999942,3,18584,18455,
136,18719,0.9999999999999942,3,18584,18455,
137,18719,0.9999999999999942,3,18584,18455,
138,18719,0.9999999999999942,3,18584,18455,
139,18719,0.9999999999999942,3,18584,18455,
140,18719,0.9999999999999942,3,18584,18455,
141,20130,0.9999999999999953,3,19998,19987,
142,20130,0.9999999999999953,3,19998,19987,
143,20130,0.9999999999999953,3,19998,19987,
144,20130,0.9999999999999953,3,19998,19987,
145,20130,0.9999999999999953,3,19998,19987,
146,20130,0.9999999999999953,3,19998,19987,
147,20130,0.9999999999999953,3,19998,19987,
148,21144,0.9999999999999954,3,20998,18719,
149,21279,0.999999999999998,3,21142,21152,
150,21279,0.999999999999998,3,21142,21152,
151,21279,0.999999999999998,3,21142,21152,
152,21279,0.999999999999998,3,21142,21152,
153,21848,0.9999999999999997,3,21279,21279,
154,21848,0.9999999999999997,3,21279,21279,
155,21848,0.9999999999999997,3,21279,21279,
156,22266,1.0,3,22135,22130,
157,22266,1.0,3,22135,22130,
158,22266,1.0,3,22135,22130,
159,22266,1.0,3,22135,22130,
160,22687,1.0,3,21848,22551,
161,22687,1.0,3,21848,22551,
162,22687,1.0,3,21848,22551,
163,22687,1.0,3,21848,22551,
164,22687,1.0,3,21848,22551,
165,22687,1.0,3,21848,22551,
166,22687,1.0,3,21848,22551,
167,22687,1.0,3,21848,22551,
168,22687,1.0,3,21848,22551,
169,22687,1.0,3,21848,22551,
170,22687,1.0,3,21848,22551,
171,22687,1.0,3,21848,22551,
172,22687,1.0,3,21848,22551,
173,22687,1.0,3,21848,22551,
174,22687,1.0,3,21848,22551,
175,22687,1.0,3,21848,22551,
176,22687,1.0,3,21848,22551,
177,22687,1.0,3,21848,22551,
178,25248,1.0,3,25090,23112,
179,22687,1.0,3,21848,22551,
180,25633,1.0,5,25489,25359,
181,25633,1.0,5,25489,25359,
182,25633,1.0,5,25489,25359,
183,25633,1.0,5,25489,25359,
184,25633,1.0,5,25489,25359,
185,25633,1.0,5,25489,25359,
186,25633,1.0,5,25489,25359,
187,25633,1.0,5,25489,25359,
188,25633,1.0,5,25489,25359,
189,25633,1.0,5,25489,25359,
190,25633,1.0,5,25489,25359,
