generation,id,fitness,species,parent1,parent2,timestep
0,1,1.406511,1,-1,-1,
1,7,2.874139,1,3,1,
2,9,1.598719,1,7,5,
3,14,1.385243,1,9,9,
4,19,1.426364,1,14,14,
5,24,1.359173,1,19,20,
6,26,1.426609,1,24,24,
7,32,1.428708,1,25,26,
8,34,1.490782,1,30,32,
9,38,1.559628,1,34,34,
10,44,1.456431,1,40,40,
11,47,1.60937,1,41,41,
12,52,1.359377,1,45,47,
13,54,1.538013,1,50,50,
14,60,1.462317,1,56,56,
15,64,1.464762,1,60,60,
16,68,1.401584,1,61,61,
17,69,1.604354,1,66,66,
18,73,1.504742,1,69,69,
19,78,1.816788,1,73,74,
20,84,1.481368,1,77,77,
21,87,1.3752,1,84,83,
22,89,1.577131,1,87,87,
23,95,1.451627,1,89,90,
24,99,1.699527,1,96,96,
25,103,1.641964,1,98,99,
26,108,1.581116,1,103,101,
27,112,1.531688,1,108,108,
28,116,2.233778,1,110,110,
29,119,1.666207,1,113,113,
30,123,1.759196,1,119,119,
31,126,1.69877,1,123,124,
32,131,1.696634,1,126,126,
33,134,1.644798,1,131,131,
34,139,1.544626,1,134,133,
35,144,1.602857,1,139,139,
36,146,1.67991,1,141,141,
37,152,1.689115,1,146,146,
38,154,1.627022,1,152,151,
39,159,1.595917,1,156,154,
40,162,1.555646,1,158,159,
41,165,1.571218,1,163,162,
42,169,1.574099,1,165,167,
43,173,1.574491,1,169,169,
44,179,1.670362,1,176,176,
45,181,1.679854,1,179,179,
46,188,1.762736,1,181,181,
47,189,1.732428,1,188,186,
48,194,1.664594,1,189,189,
49,199,1.661653,1,194,196,
50,204,1.703588,1,199,200,
51,205,1.741966,1,204,204,
52,210,1.678692,1,206,206,
53,213,1.71063,1,210,210,
54,218,1.646148,1,213,214,
55,222,1.426019,1,217,217,
56,225,1.611387,1,222,221,
57,229,1.606267,1,227,225,
58,234,1.674232,1,229,229,
59,237,1.594841,1,233,233,
60,242,1.438546,1,237,237,
61,246,1.47166,1,242,241,
62,250,1.39885,1,245,246,
63,253,1.39397,1,250,251,
64,260,1.390203,1,253,253,
65,263,1.716814,1,257,257,
66,268,1.740733,1,263,262,
67,269,1.521075,1,267,268,
68,276,1.49432,1,269,269,
69,277,1.393047,1,273,276,
70,283,1.444498,1,278,277,
71,288,1.405275,1,283,282,
72,289,3.480211,1,286,286,
73,293,1.587546,1,289,289,
74,297,1.404522,1,295,293,
75,304,1.355202,1,300,300,
76,305,1.723997,1,304,304,
77,311,1.518098,1,308,305,
78,313,1.746125,1,309,309,
79,317,1.754723,1,316,316,
80,323,1.681606,1,319,317,
81,326,1.458064,1,321,323,
82,329,1.470361,1,326,326,
83,336,1.506652,1,329,331,
84,337,1.341104,1,333,333,
85,341,2.281136,1,340,337,
86,346,1.347403,1,341,344,
87,349,1.619107,1,347,347,
88,356,1.272145,1,350,350,
89,359,1.276585,1,354,354,
90,363,1.333528,1,359,359,
91,368,1.427425,1,361,363,
92,372,1.573838,1,368,368,
93,373,1.782707,1,371,372,
94,377,1.651223,1,373,374,
95,382,1.465124,1,377,378,
96,388,1.723093,1,381,381,
97,390,1.739052,1,388,385,
98,395,1.737852,1,390,389,
99,398,1.524617,1,393,393,
