generation,id,fitness,species,parent1,parent2,timestep
0,1,1.406511,1,-1,-1,
0,2,0.094321,1,-1,-1,
0,3,1.398688,1,-1,-1,
0,4,1.392949,1,-1,-1,
1,5,1.398428,1,1,3,
1,6,1.361808,1,3,1,
1,7,2.874139,1,3,1,
1,8,0.353396,1,1,3,
2,9,1.598719,1,7,5,
2,10,1.411765,1,7,7,
2,11,0.515439,1,7,5,
2,12,1.495656,1,7,7,
3,13,1.046136,1,12,9,
3,14,1.385243,1,9,9,
3,15,0.084631,1,12,12,
3,16,1.339791,1,12,9,
4,17,-1.606426,1,14,16,
4,18,-2.870517,1,14,14,
4,19,1.426364,1,14,14,
4,20,1.385606,1,16,16,
5,21,0.340662,1,19,19,
5,22,0.315132,1,20,19,
5,23,1.358432,1,20,19,
5,24,1.359173,1,19,20,
6,25,1.320893,1,24,24,
6,26,1.426609,1,24,24,
6,27,0.771646,1,24,24,
6,28,1.283947,1,24,24,
7,29,1.318069,1,26,26,
7,30,1.386146,1,25,25,
7,31,0.20815,1,25,25,
7,32,1.428708,1,25,26,
8,33,1.390276,1,32,30,
8,34,1.490782,1,30,32,
8,35,1.374749,1,30,30,
8,36,0.208283,1,30,30,
9,37,1.375109,1,33,33,
9,38,1.559628,1,34,34,
9,39,1.372341,1,33,33,
9,40,1.398762,1,33,34,
10,41,1.385052,1,40,38,
10,42,1.381353,1,40,40,
10,43,1.367593,1,40,40,
10,44,1.456431,1,40,40,
11,45,1.483662,1,44,44,
11,46,1.404701,1,44,41,
11,47,1.60937,1,41,41,
11,48,1.405181,1,44,41,
12,49,-0.021486,1,45,45,
12,50,0.417521,1,47,45,
12,51,0.036364,1,45,45,
12,52,1.359377,1,45,47,
13,53,-0.01198,1,52,52,
13,54,1.538013,1,50,50,
13,55,1.240512,1,50,50,
13,56,1.330325,1,50,52,
14,57,1.38685,1,56,56,
14,58,1.362032,1,56,54,
14,59,1.328373,1,56,56,
14,60,1.462317,1,56,56,
15,61,1.409618,1,57,60,
15,62,-0.003185,1,57,60,
15,63,0.883926,1,60,60,
15,64,1.464762,1,60,60,
16,65,0.336577,1,61,61,
16,66,0.568253,1,64,64,
16,67,0.237497,1,64,64,
16,68,1.401584,1,61,61,
17,69,1.604354,1,66,66,
17,70,0.068768,1,66,68,
17,71,0.575854,1,66,68,
17,72,1.424491,1,66,68,
18,73,1.504742,1,69,69,
18,74,1.45453,1,69,72,
18,75,1.43799,1,69,72,
18,76,1.434914,1,69,72,
19,77,1.523323,1,73,73,
19,78,1.816788,1,73,74,
19,79,1.371723,1,74,74,
19,80,0.587077,1,74,73,
20,81,1.349308,1,78,77,
20,82,0.943812,1,78,78,
20,83,1.393465,1,77,77,
20,84,1.481368,1,77,77,
21,85,1.339906,1,83,83,
21,86,0.226352,1,84,83,
21,87,1.3752,1,84,83,
21,88,0.049688,1,83,83,
22,89,1.577131,1,87,87,
22,90,1.521367,1,85,87,
22,91,1.4227,1,87,87,
22,92,1.375881,1,85,87,
23,93,0.342137,1,89,89,
23,94,1.378289,1,90,90,
23,95,1.451627,1,89,90,
23,96,1.419253,1,90,89,
24,97,1.40815,1,95,95,
24,98,1.497351,1,95,96,
24,99,1.699527,1,96,96,
24,100,1.264775,1,96,95,
25,101,1.595506,1,99,99,
25,102,-2.431518,1,98,98,
25,103,1.641964,1,98,99,
25,104,1.408244,1,98,98,
26,105,0.408349,1,103,103,
26,106,0.024809,1,103,103,
26,107,1.425914,1,103,101,
26,108,1.581116,1,103,101,
27,109,1.247479,1,108,107,
