generation,id,fitness,species,parent1,parent2,timestep
0,2,7.377453,1,-1,-1,
1,7,6.600815,1,2,1,
2,11,6.656253,1,7,6,
3,14,6.90548,1,9,11,
4,20,10.57278,1,14,14,
5,23,10.571136,1,20,18,
6,25,10.568815,1,23,23,
7,32,10.570403,1,26,25,
8,35,10.568103,1,30,32,
9,38,10.576522,1,36,35,
10,42,10.579671,1,38,38,
11,47,6.912959,1,41,42,
12,49,6.60913,1,45,47,
13,54,10.557469,1,50,49,
14,59,10.5743,1,56,54,
15,61,10.552522,1,59,58,
16,68,10.575538,1,61,64,
17,69,10.57775,1,67,68,
18,75,10.577637,1,69,70,
19,77,10.57539,1,75,75,
20,82,10.575778,1,78,77,
21,87,10.574814,1,84,84,
22,92,10.575394,1,86,87,
23,94,10.571356,1,91,92,
24,97,10.577469,1,94,93,
25,101,10.571461,1,97,100,
26,108,10.571219,1,103,103,
27,112,10.574524,1,107,107,
28,113,7.871244,1,109,112,
29,119,10.573033,1,114,113,
30,122,7.213167,1,119,119,
31,127,6.480778,1,121,121,
32,131,5.791638,1,126,127,
33,133,10.556103,1,130,131,
34,137,10.571266,1,136,136,
35,144,10.558377,1,137,137,
36,146,10.567427,1,144,142,
37,152,10.556027,1,146,148,
38,155,10.573679,1,149,149,
39,157,10.571517,1,154,154,
40,162,10.568911,1,158,158,
41,167,8.571291,1,162,163,
42,172,10.573772,1,167,167,
43,174,10.572738,1,172,169,
44,180,10.572294,1,174,175,
45,184,10.576262,1,180,180,
46,186,10.743952,1,182,184,
47,191,10.573611,1,185,185,
48,194,10.568897,1,191,191,
49,200,7.164277,1,194,196,
50,204,6.993686,1,197,197,
51,205,6.234531,1,202,204,
52,211,10.567261,1,206,206,
53,215,10.576317,1,211,211,
54,219,10.580832,1,215,215,
55,222,10.556703,1,219,219,
56,227,10.565177,1,222,221,
57,231,10.56548,1,226,227,
58,235,7.030457,1,231,232,
59,239,8.498482,1,235,233,
60,244,8.547121,1,238,239,
61,247,10.572595,1,244,244,
62,250,5.789481,1,247,247,
63,253,5.907018,1,252,252,
64,258,8.98785,1,254,254,
65,261,10.551586,1,257,258,
66,268,8.05217,1,263,263,
67,270,9.52093,1,268,268,
68,275,10.567039,1,269,270,
69,277,10.563567,1,275,274,
70,283,5.733683,1,278,278,
71,287,6.641305,1,284,283,
72,292,6.868428,1,288,288,
73,294,6.857277,1,289,292,
74,300,10.559087,1,294,293,
75,302,6.196789,1,300,300,
76,305,7.751411,1,302,304,
77,311,10.518315,1,305,305,
78,313,7.361676,1,311,311,
79,317,10.533153,1,314,313,
80,323,10.537906,1,317,317,
81,328,9.515585,1,323,324,
82,332,8.289969,1,328,326,
83,336,7.274976,1,331,332,
84,337,6.519613,1,336,336,
85,342,10.556877,1,337,339,
86,347,10.55516,1,342,343,
87,352,10.552526,1,347,347,
88,355,10.57309,1,352,351,
89,357,10.560878,1,355,356,
90,364,10.57304,1,358,357,
91,366,10.576556,1,364,364,
92,369,7.763101,1,365,365,
93,374,8.763703,1,370,369,
94,379,10.547468,1,374,374,
95,384,8.574791,1,378,379,
96,388,10.553617,1,384,382,
97,390,10.531444,1,385,385,
98,395,10.570284,1,390,390,
99,399,7.394315,1,396,395,
100,401,10.566325,1,399,400,
101,405,10.577142,1,401,401,
102,412,10.575512,1,407,405,
103,414,10.578936,1,412,411,
104,419,10.5776,1,414,414,
105,424,10.573428,1,419,417,
106,426,10.571903,1,421,424,
107,431,10.573774,1,425,426,
108,434,10.567853,1,431,430,
109,440,10.572743,1,434,434,
110,443,10.571911,1,438,440,
111,447,10.574472,1,443,442,
112,451,10.572859,1,448,448,
113,456,10.575952,1,451,449,
114,460,10.573228,1,455,455,
115,464,10.569086,1,460,457,
116,468,10.574681,1,462,462,
117,469,10.573729,1,466,466,
118,476,10.5742,1,471,471,
119,479,10.574977,1,476,476,
120,483,10.569918,1,479,478,
121,486,10.553538,1,484,483,
122,489,10.563639,1,487,487,
123,495,10.571778,1,489,490,
