generation,id,fitness,species,parent1,parent2,timestep
0,1,4.890437,1,-1,-1,
0,2,7.377453,1,-1,-1,
0,3,1.210742,1,-1,-1,
0,4,0.01963,1,-1,-1,
1,5,3.749869,1,1,1,
1,6,6.019681,1,2,1,
1,7,6.600815,1,2,1,
1,8,4.873483,1,1,2,
2,9,4.943391,1,6,7,
2,10,3.925165,1,6,6,
2,11,6.656253,1,7,6,
2,12,4.024699,1,6,6,
3,13,5.022941,1,11,9,
3,14,6.90548,1,9,11,
3,15,6.318708,1,11,11,
3,16,4.971248,1,9,9,
4,17,3.457101,1,14,15,
4,18,6.044508,1,14,15,
4,19,5.705043,1,15,14,
4,20,10.57278,1,14,14,
5,21,10.562969,1,20,20,
5,22,10.565206,1,20,20,
5,23,10.571136,1,20,18,
5,24,6.070615,1,18,20,
6,25,10.568815,1,23,23,
6,26,10.56126,1,23,23,
6,27,10.561192,1,22,22,
6,28,10.552285,1,23,22,
7,29,6.75807,1,26,26,
7,30,7.583952,1,25,26,
7,31,6.294187,1,26,26,
7,32,10.570403,1,26,25,
8,33,6.032258,1,30,32,
8,34,0.808894,1,30,30,
8,35,10.568103,1,30,32,
8,36,9.214388,1,30,32,
9,37,9.018654,1,36,36,
9,38,10.576522,1,36,35,
9,39,10.569282,1,35,36,
9,40,4.096057,1,35,36,
10,41,8.125822,1,39,38,
10,42,10.579671,1,38,38,
10,43,8.026213,1,39,38,
10,44,5.311693,1,38,39,
11,45,3.777758,1,41,41,
11,46,1.156768,1,42,42,
11,47,6.912959,1,41,42,
11,48,2.12037,1,42,42,
12,49,6.60913,1,45,47,
12,50,4.807328,1,45,47,
12,51,2.027952,1,47,47,
12,52,4.537053,1,47,45,
13,53,7.477082,1,49,50,
13,54,10.557469,1,50,49,
13,55,5.101246,1,49,50,
13,56,7.727838,1,49,49,
14,57,6.187619,1,56,56,
14,58,6.288725,1,54,54,
14,59,10.5743,1,56,54,
14,60,3.330735,1,54,56,
15,61,10.552522,1,59,58,
15,62,8.508892,1,58,58,
15,63,5.345372,1,58,59,
15,64,9.391324,1,58,59,
16,65,5.357028,1,61,61,
16,66,10.565205,1,61,64,
16,67,10.571711,1,64,61,
16,68,10.575538,1,61,64,
17,69,10.57775,1,67,68,
17,70,10.570911,1,68,68,
17,71,0.090077,1,68,67,
17,72,8.723709,1,68,67,
18,73,10.56506,1,69,70,
18,74,7.569105,1,70,69,
18,75,10.577637,1,69,70,
18,76,10.55612,1,69,69,
19,77,10.57539,1,75,75,
19,78,10.568822,1,75,75,
19,79,9.364432,1,73,73,
19,80,7.50981,1,75,73,
20,81,10.568282,1,78,78,
20,82,10.575778,1,78,77,
20,83,10.56853,1,78,77,
20,84,10.569221,1,77,78,
21,85,10.553701,1,82,84,
21,86,10.560847,1,84,84,
21,87,10.574814,1,84,84,
21,88,5.502511,1,82,82,
22,89,8.685235,1,86,86,
22,90,6.64255,1,86,87,
22,91,10.570865,1,87,86,
22,92,10.575394,1,86,87,
23,93,10.570298,1,91,92,
23,94,10.571356,1,91,92,
23,95,10.553106,1,91,91,
23,96,8.270041,1,91,91,
24,97,10.577469,1,94,93,
24,98,10.563005,1,93,93,
24,99,0.928222,1,94,94,
24,100,10.56909,1,94,93,
25,101,10.571461,1,97,100,
25,102,10.56821,1,100,100,
25,103,10.569795,1,100,100,
25,104,7.812957,1,97,97,
26,105,3.885498,1,103,103,
26,106,8.381634,1,103,101,
26,107,9.487397,1,103,101,
26,108,10.571219,1,103,103,
27,109,4.09974,1,107,107,
27,110,1.312553,1,108,107,
27,111,3.805486,1,108,107,
27,112,10.574524,1,107,107,
28,113,7.871244,1,109,112,
28,114,3.950384,1,109,109,
28,115,0.0,1,109,112,
28,116,3.00066,1,109,109,
29,117,0.023872,1,114,113,
29,118,5.827152,1,114,114,
29,119,10.573033,1,114,113,
29,120,1.274697,1,114,113,
30,121,5.540258,1,118,118,
30,122,7.213167,1,119,119,
30,123,1.908468,1,119,119,
30,124,3.160433,1,118,118,
31,125,4.621181,1,121,121,
31,126,5.716115,1,122,122,
31,127,6.480778,1,121,121,
31,128,3.252297,1,122,121,
32,129,3.820267,1,126,126,
32,130,4.729071,1,126,127,
32,131,5.791638,1,126,127,
32,132,4.718981,1,127,126,
33,133,10.556103,1,130,131,
33,134,5.309897,1,131,131,
33,135,6.211069,1,131,131,
33,136,7.285286,1,131,130,
34,137,10.571266,1,136,136,
34,138,10.552226,1,133,133,
34,139,10.570737,1,133,133,
34,140,9.186459,1,136,133,
35,141,9.404091,1,137,137,
35,142,10.555844,1,139,139,
35,143,4.83262,1,139,137,
35,144,10.558377,1,137,137,
36,145,5.247969,1,142,144,
36,146,10.567427,1,144,142,
36,147,10.56375,1,144,144,
36,148,10.566127,1,142,142,
37,149,7.396696,1,148,148,
37,150,3.144831,1,148,146,
37,151,6.015809,1,146,148,
37,152,10.556027,1,146,148,
38,153,7.954081,1,149,152,
38,154,10.572919,1,152,149,
38,155,10.573679,1,149,149,
38,156,10.568473,1,149,152,
39,157,10.571517,1,154,154,
39,158,10.57061,1,154,154,
39,159,5.751955,1,155,155,
39,160,10.562769,1,155,154,
40,161,8.854143,1,157,157,
40,162,10.568911,1,158,158,
40,163,10.559639,1,158,157,
40,164,0.306016,1,157,157,
41,165,3.866676,1,163,162,
41,166,4.731239,1,163,162,
41,167,8.571291,1,162,163,
41,168,8.512945,1,162,163,
42,169,7.279558,1,167,168,
42,170,0.387447,1,167,168,
42,171,0.682063,1,168,168,
42,172,10.573772,1,167,167,
43,173,4.949325,1,169,169,
43,174,10.572738,1,172,169,
43,175,5.994115,1,169,169,
43,176,3.798231,1,169,172,
44,177,10.568798,1,174,174,
44,178,10.556888,1,175,175,
44,179,10.55159,1,174,174,
44,180,10.572294,1,174,175,
45,181,8.191744,1,177,180,
45,182,10.568428,1,177,180,
45,183,10.565139,1,180,180,
45,184,10.576262,1,180,180,
46,185,10.569494,1,184,184,
46,186,10.743952,1,182,184,
46,187,0.088364,1,184,184,
46,188,10.569375,1,182,182,
47,189,6.243939,1,185,186,
47,190,5.126606,1,186,186,
47,191,10.573611,1,185,185,
47,192,3.796236,1,185,186,
48,193,2.604782,1,189,189,
48,194,10.568897,1,191,191,
48,195,6.91418,1,191,191,
48,196,10.567055,1,191,191,
49,197,6.072183,1,196,194,
49,198,4.283917,1,196,194,
49,199,5.183723,1,196,196,
49,200,7.164277,1,194,196,
50,201,5.347265,1,197,200,
50,202,5.494352,1,200,200,
50,203,4.713629,1,200,200,
50,204,6.993686,1,197,197,
51,205,6.234531,1,202,204,
51,206,5.367523,1,202,204,
51,207,3.043424,1,202,202,
51,208,3.844972,1,202,204,
52,209,6.29613,1,205,206,
52,210,5.55774,1,206,206,
52,211,10.567261,1,206,206,
52,212,10.560288,1,206,206,
53,213,3.112536,1,211,211,
53,214,6.597018,1,212,211,
53,215,10.576317,1,211,211,
53,216,4.84856,1,211,211,
54,217,5.043783,1,214,214,
54,218,10.567038,1,214,214,
54,219,10.580832,1,215,215,
54,220,6.562139,1,214,214,
55,221,7.897325,1,218,219,
55,222,10.556703,1,219,219,
55,223,5.939525,1,218,219,
55,224,4.581011,1,218,219,
56,225,5.630042,1,222,221,
56,226,6.068986,1,222,221,
56,227,10.565177,1,222,221,
56,228,5.636602,1,221,221,
57,229,8.315173,1,226,227,
57,230,0.0,1,227,226,
57,231,10.56548,1,226,227,
57,232,10.554258,1,227,227,
58,233,5.373118,1,231,231,
58,234,4.827619,1,232,231,
58,235,7.030457,1,231,232,
58,236,3.741196,1,231,232,
59,237,4.828443,1,235,235,
59,238,8.476337,1,235,235,
59,239,8.498482,1,235,233,
59,240,5.028422,1,235,235,
60,241,2.727803,1,238,238,
60,242,5.400316,1,239,238,
60,243,0.09031,1,239,238,
60,244,8.547121,1,238,239,
61,245,6.805085,1,244,242,
61,246,10.514644,1,242,244,
61,247,10.572595,1,244,244,
61,248,3.047622,1,242,242,
62,249,3.001944,1,247,246,
62,250,5.789481,1,247,247,
62,251,2.298764,1,246,247,
62,252,4.166054,1,246,247,
63,253,5.907018,1,252,252,
63,254,5.284266,1,250,252,
63,255,3.582774,1,252,250,
63,256,3.899691,1,252,252,
64,257,6.844243,1,254,253,
64,258,8.98785,1,254,254,
64,259,6.300444,1,253,254,
64,260,3.917913,1,254,254,
65,261,10.551586,1,257,258,
65,262,3.175594,1,258,257,
65,263,7.573337,1,258,257,
65,264,4.046195,1,258,257,
66,265,3.730591,1,263,263,
66,266,7.875851,1,263,261,
66,267,3.335838,1,263,261,
66,268,8.05217,1,263,263,
67,269,6.747072,1,268,268,
67,270,9.52093,1,268,268,
67,271,0.068538,1,268,266,
67,272,3.482183,1,268,268,
68,273,2.144967,1,270,270,
68,274,10.562939,1,270,269,
68,275,10.567039,1,269,270,
68,276,6.310869,1,269,270,
69,277,10.563567,1,275,274,
69,278,9.108765,1,274,275,
69,279,2.281314,1,275,275,
69,280,8.536104,1,274,274,
70,281,0.0619,1,277,277,
70,282,5.10241,1,277,278,
70,283,5.733683,1,278,278,
70,284,5.164904,1,278,277,
71,285,2.147139,1,284,284,
71,286,0.153581,1,283,284,
71,287,6.641305,1,284,283,
71,288,6.206454,1,284,284,
72,289,5.239096,1,287,288,
72,290,-0.002975,1,287,288,
72,291,0.0,1,287,288,
72,292,6.868428,1,288,288,
73,293,6.767784,1,292,292,
73,294,6.857277,1,289,292,
73,295,6.19108,1,292,289,
73,296,-0.090371,1,289,289,
74,297,9.35584,1,294,293,
74,298,1.279171,1,293,294,
74,299,7.789886,1,293,293,
74,300,10.559087,1,294,293,
75,301,2.610748,1,300,297,
75,302,6.196789,1,300,300,
75,303,0.27671,1,297,300,
75,304,4.805928,1,300,300,
76,305,7.751411,1,302,304,
76,306,6.079758,1,302,304,
76,307,6.454513,1,304,302,
76,308,5.471284,1,304,302,
77,309,6.210929,1,307,305,
77,310,6.715421,1,307,305,
77,311,10.518315,1,305,305,
77,312,-0.009777,1,305,305,
78,313,7.361676,1,311,311,
78,314,5.876539,1,311,310,
78,315,4.788076,1,310,311,
78,316,4.375644,1,311,311,
79,317,10.533153,1,314,313,
79,318,6.110003,1,314,313,
79,319,7.018637,1,313,314,
79,320,1.828395,1,313,313,
80,321,4.281724,1,319,317,
80,322,2.343729,1,317,319,
80,323,10.537906,1,317,317,
80,324,5.809934,1,319,317,
81,325,4.451855,1,323,323,
81,326,9.108925,1,323,323,
81,327,7.389047,1,324,324,
81,328,9.515585,1,323,324,
82,329,5.103629,1,328,326,
82,330,3.861085,1,328,326,
82,331,5.905641,1,326,326,
82,332,8.289969,1,328,326,
83,333,5.730761,1,331,331,
83,334,6.01914,1,331,332,
83,335,5.177024,1,331,331,
83,336,7.274976,1,331,332,
84,337,6.519613,1,336,336,
84,338,2.310352,1,334,336,
84,339,3.302779,1,334,336,
84,340,3.201405,1,334,334,
85,341,4.565444,1,337,339,
85,342,10.556877,1,337,339,
85,343,6.034977,1,337,339,
85,344,1.196867,1,339,339,
86,345,4.962127,1,342,342,
86,346,0.140322,1,342,342,
86,347,10.55516,1,342,343,
86,348,4.885124,1,342,342,
87,349,1.815348,1,345,345,
87,350,0.507979,1,345,345,
87,351,6.626106,1,347,347,
87,352,10.552526,1,347,347,
88,353,6.25887,1,351,352,
88,354,0.433419,1,352,351,
88,355,10.57309,1,352,351,
88,356,10.568022,1,351,352,
89,357,10.560878,1,355,356,
89,358,10.540526,1,355,355,
89,359,8.914426,1,356,355,
89,360,9.354996,1,356,356,
90,361,1.79941,1,358,358,
90,362,6.953105,1,357,357,
90,363,6.584479,1,358,358,
90,364,10.57304,1,358,357,
91,365,7.584931,1,364,362,
91,366,10.576556,1,364,364,
91,367,0.924363,1,364,364,
91,368,0.293261,1,362,362,
92,369,7.763101,1,365,365,
92,370,4.362676,1,365,366,
92,371,3.248379,1,366,365,
92,372,1.857871,1,366,366,
93,373,0.020148,1,370,370,
93,374,8.763703,1,370,369,
93,375,4.127116,1,369,370,
93,376,5.213467,1,369,370,
94,377,6.546794,1,376,376,
94,378,10.540681,1,374,374,
94,379,10.547468,1,374,374,
94,380,6.061334,1,374,374,
95,381,5.067322,1,379,378,
95,382,6.814632,1,379,379,
95,383,-0.054255,1,379,379,
95,384,8.574791,1,378,379,
96,385,9.372439,1,384,384,
96,386,6.325833,1,382,382,
96,387,7.67037,1,382,382,
96,388,10.553617,1,384,382,
97,389,-0.090237,1,388,388,
97,390,10.531444,1,385,385,
97,391,6.174702,1,385,385,
97,392,3.581666,1,388,388,
98,393,5.926702,1,391,391,
98,394,8.067219,1,391,390,
98,395,10.570284,1,390,390,
98,396,10.536358,1,391,390,
99,397,0.033173,1,395,395,
99,398,1.161412,1,396,395,
99,399,7.394315,1,396,395,
99,400,4.774685,1,395,396,
100,401,10.566325,1,399,400,
100,402,2.759774,1,399,399,
100,403,0.441876,1,400,400,
100,404,-0.073841,1,399,400,
101,405,10.577142,1,401,401,
101,406,3.684479,1,402,402,
101,407,10.56063,1,401,401,
101,408,7.211293,1,401,402,
102,409,6.396825,1,407,407,
102,410,8.160007,1,405,405,
102,411,10.570896,1,407,405,
102,412,10.575512,1,407,405,
103,413,9.044951,1,412,412,
103,414,10.578936,1,412,411,
103,415,10.57323,1,411,411,
103,416,0.0,1,411,412,
104,417,8.731568,1,415,414,
104,418,4.939163,1,414,414,
104,419,10.5776,1,414,414,
104,420,8.446647,1,415,415,
105,421,6.820441,1,419,419,
105,422,5.955624,1,417,419,
105,423,3.051111,1,417,419,
105,424,10.573428,1,419,417,
106,425,10.560844,1,421,424,
106,426,10.571903,1,421,424,
106,427,4.519391,1,424,424,
106,428,6.463226,1,424,424,
107,429,2.217818,1,426,426,
107,430,9.301694,1,426,426,
107,431,10.573774,1,425,426,
107,432,4.469648,1,425,426,
108,433,7.951255,1,430,431,
108,434,10.567853,1,431,430,
108,435,0.981185,1,431,431,
108,436,10.556879,1,430,430,
109,437,4.601149,1,436,434,
109,438,4.625035,1,436,436,
109,439,4.350243,1,434,436,
109,440,10.572743,1,434,434,
110,441,3.954211,1,438,438,
110,442,6.270904,1,440,440,
110,443,10.571911,1,438,440,
110,444,0.20823,1,440,440,
111,445,10.568667,1,443,443,
111,446,10.556817,1,443,443,
111,447,10.574472,1,443,442,
111,448,10.568759,1,443,443,
112,449,10.568512,1,448,447,
112,450,8.456748,1,448,447,
112,451,10.572859,1,448,448,
112,452,3.497335,1,448,448,
113,453,2.36084,1,449,449,
113,454,9.318146,1,449,449,
113,455,10.571598,1,451,451,
113,456,10.575952,1,451,449,
114,457,10.573198,1,455,456,
114,458,8.584696,1,456,455,
114,459,10.569018,1,455,455,
114,460,10.573228,1,455,455,
115,461,6.149935,1,460,460,
115,462,10.567629,1,460,457,
115,463,10.567561,1,457,457,
115,464,10.569086,1,460,457,
116,465,7.717549,1,464,464,
116,466,10.571613,1,464,462,
116,467,10.559924,1,464,462,
116,468,10.574681,1,462,462,
117,469,10.573729,1,466,466,
117,470,10.570716,1,468,466,
117,471,10.573083,1,468,466,
117,472,10.569727,1,466,466,
118,473,10.556851,1,471,469,
118,474,10.570707,1,471,469,
118,475,7.434763,1,471,471,
118,476,10.5742,1,471,471,
119,477,6.721982,1,474,474,
119,478,10.570755,1,474,476,
119,479,10.574977,1,476,476,
119,480,8.730191,1,474,476,
120,481,2.420842,1,478,479,
120,482,2.843071,1,478,479,
120,483,10.569918,1,479,478,
120,484,8.251621,1,479,479,
121,485,7.685858,1,483,484,
121,486,10.553538,1,484,483,
121,487,10.550746,1,484,484,
121,488,8.289964,1,484,483,
122,489,10.563639,1,487,487,
122,490,10.561282,1,487,487,
122,491,10.560255,1,486,486,
122,492,10.556534,1,486,486,
123,493,9.462526,1,489,489,
123,494,10.568965,1,490,490,
123,495,10.571778,1,489,490,
123,496,4.347994,1,489,490,
124,497,9.392887,1,495,495,
124,498,10.560518,1,495,494,
124,499,8.824062,1,495,495,
124,500,10.5703,1,494,495,
125,501,10.567867,1,498,500,
125,502,10.568532,1,498,500,
125,503,10.554821,1,500,498,
125,504,10.57274,1,500,498,
126,505,10.570888,1,502,504,
126,506,6.960876,1,502,502,
126,507,7.24796,1,502,504,
126,508,8.363392,1,502,504,
127,509,10.55451,1,505,505,
127,510,10.5527,1,505,508,
127,511,6.14209,1,508,508,
127,512,5.953403,1,505,508,
128,513,10.571908,1,510,509,
128,514,5.325688,1,510,510,
128,515,10.571306,1,510,510,
128,516,8.856775,1,510,510,
129,517,10.573653,1,513,515,
129,518,9.381173,1,515,515,
129,519,1.585881,1,515,515,
129,520,10.573461,1,515,513,
130,521,10.57367,1,520,520,
130,522,5.099728,1,517,517,
130,523,10.567225,1,517,520,
130,524,1.155682,1,520,517,
131,525,10.561985,1,523,521,
131,526,10.566364,1,521,521,
131,527,7.0114,1,523,523,
131,528,10.560747,1,521,523,
132,529,10.57495,1,526,525,
132,530,10.571458,1,526,526,
132,531,10.550467,1,526,525,
132,532,10.559219,1,526,525,
133,533,10.566377,1,530,529,
133,534,10.568266,1,530,529,
133,535,5.748069,1,529,530,
133,536,10.563265,1,530,530,
134,537,10.569758,1,534,533,
134,538,9.033672,1,533,533,
134,539,4.687142,1,533,534,
134,540,10.567893,1,533,533,
135,541,10.573179,1,537,540,
135,542,10.569653,1,537,540,
135,543,10.551574,1,537,540,
135,544,10.56042,1,540,537,
136,545,10.571712,1,541,542,
136,546,7.539034,1,541,541,
136,547,10.560595,1,541,542,
136,548,10.564131,1,542,541,
137,549,4.84722,1,545,545,
137,550,10.553954,1,548,548,
137,551,7.069855,1,548,548,
137,552,10.564538,1,548,548,
138,553,10.570289,1,552,550,
138,554,9.388055,1,550,550,
138,555,10.56861,1,552,550,
138,556,4.952041,1,552,550,
139,557,0.116439,1,553,555,
139,558,10.569527,1,555,555,
139,559,10.566807,1,553,553,
139,560,8.144846,1,555,555,
140,561,8.654071,1,558,559,
140,562,10.572701,1,559,558,
140,563,7.380428,1,558,559,
140,564,5.518616,1,559,559,
141,565,8.922443,1,561,561,
141,566,7.895167,1,562,561,
141,567,10.54941,1,561,561,
141,568,6.152877,1,561,561,
142,569,8.017019,1,567,565,
142,570,7.570469,1,565,567,
142,571,9.001099,1,565,567,
142,572,6.63385,1,565,565,
143,573,6.169133,1,571,571,
143,574,10.544274,1,571,571,
143,575,5.342462,1,569,569,
143,576,5.410115,1,569,569,
144,577,7.584447,1,573,573,
144,578,5.418763,1,574,573,
144,579,8.634474,1,574,573,
144,580,7.886611,1,574,574,
145,581,3.869768,1,580,579,
145,582,7.173735,1,579,579,
145,583,5.537699,1,580,579,
145,584,7.734453,1,579,579,
146,585,5.391446,1,582,584,
146,586,6.025527,1,582,584,
146,587,6.706107,1,582,582,
146,588,5.703349,1,584,584,
147,589,0.007814,1,587,587,
147,590,5.994059,1,587,586,
147,591,8.047618,1,587,586,
147,592,7.486554,1,586,587,
148,593,6.233119,1,592,591,
148,594,9.226666,1,591,592,
148,595,9.173292,1,592,591,
148,596,8.79608,1,591,591,
149,597,10.564478,1,594,594,
149,598,7.664954,1,595,595,
149,599,7.707615,1,594,595,
149,600,3.439256,1,595,595,
150,601,4.701949,1,597,599,
150,602,3.938323,1,599,597,
150,603,0.0,1,599,599,
150,604,10.561513,1,597,597,
151,605,0.0,1,604,604,
151,606,6.566539,1,601,601,
151,607,7.942185,1,601,601,
151,608,5.899685,1,601,601,
152,609,7.327128,1,607,606,
152,610,6.600932,1,607,607,
152,611,5.778473,1,606,607,
152,612,7.740829,1,607,606,
153,613,2.740062,1,612,609,
153,614,6.756542,1,609,609,
153,615,8.303892,1,609,612,
153,616,4.60948,1,609,612,
154,617,8.596636,1,614,615,
154,618,5.428122,1,615,614,
154,619,10.556533,1,614,615,
154,620,10.566002,1,615,615,
155,621,8.036031,1,620,620,
155,622,5.947817,1,619,619,
155,623,5.7391,1,620,619,
155,624,8.51708,1,620,619,
156,625,10.569253,1,624,621,
156,626,3.665473,1,621,624,
156,627,8.536557,1,621,624,
156,628,8.083132,1,621,624,
157,629,6.444531,1,625,627,
157,630,3.173679,1,625,627,
157,631,1.65804,1,627,627,
157,632,3.194585,1,627,627,
158,633,0.740027,1,629,632,
158,634,10.57134,1,632,632,
158,635,3.7588,1,632,629,
158,636,8.30033,1,632,629,
159,637,10.578491,1,634,636,
159,638,0.326971,1,636,634,
159,639,2.256278,1,636,636,
159,640,7.248607,1,636,634,
160,641,4.497135,1,637,637,
160,642,4.026991,1,637,640,
160,643,-1e-06,1,640,637,
160,644,10.580448,1,637,637,
161,645,10.566285,1,644,641,
161,646,5.893145,1,641,644,
161,647,10.575809,1,644,641,
161,648,0.676405,1,644,641,
162,649,8.536618,1,645,645,
162,650,4.523291,1,647,647,
162,651,6.883786,1,647,647,
162,652,10.576823,1,647,647,
163,653,10.559063,1,652,649,
163,654,1.427496,1,652,649,
163,655,0.768945,1,652,652,
163,656,10.593456,1,652,649,
164,657,10.570487,1,653,653,
164,658,8.567647,1,653,653,
164,659,8.20522,1,653,653,
164,660,7.327203,1,656,656,
165,661,7.904563,1,657,658,
165,662,3.53076,1,657,658,
165,663,10.575235,1,658,658,
165,664,10.566867,1,658,658,
166,665,6.919763,1,664,663,
166,666,10.565421,1,664,663,
166,667,10.56941,1,664,663,
166,668,6.159265,1,663,663,
167,669,8.956024,1,667,667,
167,670,10.568015,1,666,666,
167,671,9.256064,1,667,667,
167,672,10.566036,1,667,667,
168,673,5.082519,1,672,672,
168,674,9.232353,1,670,672,
168,675,6.78846,1,670,672,
168,676,6.201567,1,672,670,
169,677,7.674291,1,674,674,
169,678,4.080033,1,675,675,
169,679,10.579468,1,675,675,
169,680,10.574046,1,675,675,
170,681,10.570527,1,680,679,
170,682,5.614241,1,680,680,
170,683,7.615557,1,680,679,
170,684,9.448579,1,679,680,
171,685,1.919183,1,681,681,
171,686,8.643099,1,684,681,
171,687,10.57829,1,681,681,
171,688,10.560743,1,681,684,
172,689,8.820447,1,687,687,
172,690,10.567766,1,688,687,
172,691,10.56765,1,688,687,
172,692,6.085529,1,687,687,
173,693,10.586752,1,691,691,
173,694,5.575042,1,691,690,
173,695,10.585355,1,691,690,
173,696,0.0,1,691,691,
174,697,2.690995,1,693,695,
174,698,5.489213,1,693,695,
174,699,10.576747,1,693,695,
174,700,8.452021,1,695,695,
175,701,9.317476,1,699,699,
175,702,0.830995,1,700,700,
175,703,9.256121,1,700,699,
175,704,7.64521,1,699,699,
176,705,7.01752,1,703,703,
176,706,2.811777,1,703,703,
176,707,7.391587,1,701,701,
176,708,10.602134,1,701,703,
177,709,7.511616,1,707,707,
177,710,7.321172,1,708,708,
177,711,8.072637,1,707,708,
177,712,6.374011,1,708,708,
178,713,10.566762,1,711,709,
178,714,7.196363,1,711,711,
178,715,7.637542,1,709,711,
178,716,0.0,1,709,709,
179,717,10.574604,1,715,713,
179,718,2.493532,1,713,715,
179,719,0.800744,1,713,715,
179,720,4.729973,1,713,715,
180,721,2.098781,1,717,720,
180,722,10.569267,1,717,717,
180,723,2.038393,1,720,720,
180,724,3.489272,1,720,717,
181,725,8.442858,1,722,722,
181,726,6.115335,1,722,722,
181,727,10.576247,1,722,722,
181,728,10.561054,1,724,722,
182,729,10.584687,1,727,728,
182,730,2.337794,1,727,728,
182,731,10.563565,1,728,728,
182,732,8.195869,1,728,727,
183,733,3.885719,1,731,729,
183,734,4.968242,1,729,729,
183,735,10.570772,1,729,729,
183,736,7.444241,1,731,731,
184,737,10.576668,1,735,735,
184,738,9.096587,1,736,735,
184,739,8.693424,1,736,736,
184,740,10.566796,1,736,736,
185,741,10.571982,1,740,740,
185,742,10.581205,1,740,740,
185,743,5.641002,1,737,740,
185,744,6.397287,1,740,737,
186,745,10.575242,1,742,742,
186,746,10.566417,1,741,741,
186,747,6.450884,1,742,742,
186,748,10.558369,1,741,742,
187,749,8.45172,1,745,746,
187,750,10.577286,1,746,746,
187,751,10.629785,1,746,745,
187,752,10.575149,1,746,746,
188,753,5.597196,1,751,751,
188,754,10.648498,1,751,751,
188,755,10.578687,1,751,750,
188,756,10.57214,1,751,751,
189,757,7.169737,1,754,754,
