generation,id,fitness,species,parent1,parent2
0,75,1.577541,1,-1,-1
1,75,1.577541,5,-1,-1
2,275,2.13922,1,161,75
3,328,2.425107,1,75,262
4,328,2.425107,9,75,262
5,328,2.425107,9,75,262
6,328,2.425107,9,75,262
7,328,2.425107,9,75,262
8,328,2.425107,9,75,262
9,328,2.425107,9,75,262
10,926,2.63611,9,328,842
11,926,2.63611,9,328,842
12,1090,3.404047,9,921,926
13,1090,3.404047,9,921,926
14,1090,3.404047,9,921,926
15,1090,3.404047,9,921,926
16,1090,3.404047,9,921,926
17,1090,3.404047,9,921,926
18,1090,3.404047,9,921,926
19,1090,3.404047,9,921,926
20,1090,3.404047,9,921,926
21,1090,3.404047,9,921,926
22,1090,3.404047,9,921,926
23,1090,3.404047,9,921,926
24,2077,3.579417,9,1830,1090
25,2077,3.579417,9,1830,1090
26,2077,3.579417,9,1830,1090
27,2077,3.579417,9,1830,1090
28,2403,3.715394,9,2077,2077
29,2403,3.715394,9,2077,2077
30,2403,3.715394,9,2077,2077
31,2652,4.043852,9,2403,2077
32,2652,4.043852,9,2403,2077
33,2652,4.043852,9,2403,2077
34,2652,4.043852,9,2403,2077
35,2652,4.043852,9,2403,2077
36,3054,4.47049,9,2652,2808
37,3054,4.47049,9,2652,2808
38,3054,4.47049,9,2652,2808
39,3054,4.47049,9,2652,2808
40,3054,4.47049,9,2652,2808
41,3054,4.47049,9,2652,2808
42,3545,4.558703,9,2652,3054
43,3545,4.558703,9,2652,3054
44,3545,4.558703,9,2652,3054
45,3545,4.558703,9,2652,3054
46,3870,4.664593,9,3545,3054
47,3870,4.664593,9,3545,3054
48,3870,4.664593,9,3545,3054
49,3870,4.664593,9,3545,3054
50,3870,4.664593,9,3545,3054
51,3870,4.664593,9,3545,3054
52,3870,4.664593,9,3545,3054
53,3870,4.664593,9,3545,3054
54,3870,4.664593,9,3545,3054
55,3870,4.664593,9,3545,3054
56,3870,4.664593,9,3545,3054
57,3870,4.664593,9,3545,3054
58,3870,4.664593,9,3545,3054
59,3870,4.664593,9,3545,3054
60,3870,4.664593,9,3545,3054
61,3870,4.664593,9,3545,3054
62,3870,4.664593,9,3545,3054
63,3870,4.664593,9,3545,3054
64,3870,4.664593,9,3545,3054
65,3870,4.664593,9,3545,3054
66,3870,4.664593,9,3545,3054
67,3870,4.664593,9,3545,3054
68,3870,4.664593,9,3545,3054
69,5759,4.691646,9,4116,4116
70,5759,4.691646,9,4116,4116
71,5759,4.691646,9,4116,4116
72,5759,4.691646,9,4116,4116
73,5759,4.691646,9,4116,4116
74,5759,4.691646,9,4116,4116
75,5759,4.691646,9,4116,4116
76,5759,4.691646,9,4116,4116
77,5759,4.691646,9,4116,4116
78,5759,4.691646,9,4116,4116
