generation,id,fitness,species,parent1,parent2
0,1,0.144707,1,-1,-1
0,2,0.013128,1,-1,-1
0,3,0.046842,1,-1,-1
0,4,0.065537,1,-1,-1
0,5,-0.053513,1,-1,-1
0,6,-0.076908,1,-1,-1
0,7,0.014048,1,-1,-1
0,8,-0.040353,1,-1,-1
0,9,0.086245,1,-1,-1
0,10,-0.014259,1,-1,-1
0,11,0.057931,1,-1,-1
0,12,0.20095,2,-1,-1
0,13,-0.575494,1,-1,-1
0,14,0.236127,1,-1,-1
0,15,0.098952,1,-1,-1
0,16,0.070349,1,-1,-1
0,17,-0.000743,1,-1,-1
0,18,0.016027,1,-1,-1
0,19,0.061278,1,-1,-1
0,20,-0.109286,3,-1,-1
0,21,-0.031163,1,-1,-1
0,22,0.052829,1,-1,-1
0,23,0.372913,2,-1,-1
0,24,0.482135,1,-1,-1
0,25,-0.039601,1,-1,-1
0,26,-0.045558,1,-1,-1
0,27,-0.429821,1,-1,-1
0,28,0.386085,1,-1,-1
0,29,0.199712,1,-1,-1
0,30,0.055453,2,-1,-1
0,31,0.005407,1,-1,-1
0,32,0.041816,4,-1,-1
0,33,-0.05953,2,-1,-1
0,34,0.005407,1,-1,-1
0,35,0.247758,1,-1,-1
0,36,-0.002505,1,-1,-1
0,37,0.218162,1,-1,-1
0,38,0.065272,1,-1,-1
0,39,-0.046016,1,-1,-1
0,40,-0.025696,3,-1,-1
0,41,0.009603,2,-1,-1
0,42,0.005407,1,-1,-1
0,43,0.025632,2,-1,-1
0,44,-0.021788,1,-1,-1
0,45,0.045596,1,-1,-1
0,46,-0.329025,1,-1,-1
0,47,0.060432,2,-1,-1
0,48,-0.004573,1,-1,-1
0,49,0.021138,1,-1,-1
0,50,0.088489,2,-1,-1
0,51,0.005407,4,-1,-1
0,52,0.063591,3,-1,-1
0,53,-2.181557,2,-1,-1
0,54,0.715567,2,-1,-1
0,55,0.013567,1,-1,-1
0,56,0.054751,4,-1,-1
0,57,0.032099,1,-1,-1
0,58,0.016208,1,-1,-1
0,59,0.019821,1,-1,-1
0,60,0.005407,4,-1,-1
0,61,0.006237,1,-1,-1
0,62,0.139666,2,-1,-1
0,63,0.051783,5,-1,-1
0,64,-0.051013,1,-1,-1
0,65,0.18793,1,-1,-1
0,66,-0.034365,2,-1,-1
0,67,0.068641,2,-1,-1
0,68,0.289319,4,-1,-1
0,69,-0.019779,1,-1,-1
0,70,-0.018384,1,-1,-1
0,71,-0.046527,5,-1,-1
0,72,0.005407,4,-1,-1
0,73,-0.045873,1,-1,-1
0,74,-0.472228,1,-1,-1
0,75,1.577541,1,-1,-1
0,76,0.021326,1,-1,-1
0,77,0.035456,1,-1,-1
0,78,0.017829,1,-1,-1
0,79,0.068039,1,-1,-1
0,80,-0.061394,1,-1,-1
0,81,-0.054966,1,-1,-1
0,82,0.005407,1,-1,-1
