generation,id,fitness,species,parent1,parent2,timestep
0,204,0.5085689205861915,1,-1,-1,400
1,746,0.7001877738895088,2,288,473,400
2,1296,0.7042950029649031,5,555,80,400
3,1296,0.7042950029649031,5,555,80,400
4,1296,0.7042950029649031,5,555,80,400
5,2916,0.8192258017872821,5,2404,1296,400
6,2916,0.8192258017872821,5,2404,1296,400
7,3501,0.8296974861216823,3,3051,2993,400
8,4411,0.8616091582165077,3,3501,2993,400
9,4411,0.8616091582165077,3,3501,2993,400
10,4411,0.8616091582165077,3,3501,2993,400
11,5885,0.8889125307208389,3,4915,4411,400
12,5885,0.8889125307208389,3,4915,4411,400
13,5885,0.8889125307208389,3,4915,4411,400
14,7271,1.1475,3,6787,6809,341
15,7271,1.1475,3,6787,6809,341
16,7271,1.1475,3,6787,6809,341
17,7271,1.1475,3,6787,6809,341
18,7271,1.1475,3,6787,6809,341
19,7271,1.1475,3,6787,6809,341
20,7271,1.1475,3,6787,6809,341
21,7271,1.1475,3,6787,6809,341
22,11187,1.195,3,10767,7271,322
23,11187,1.195,3,10767,7271,322
24,11656,1.195,3,11161,11267,322
25,11656,1.195,3,11161,11267,322
26,11656,1.195,3,11161,11267,322
27,11656,1.195,3,11161,11267,322
28,11656,1.195,3,11161,11267,322
29,11187,1.195,3,10767,7271,322
30,11187,1.195,3,10767,7271,322
31,11187,1.195,3,10767,7271,322
32,11187,1.195,3,10767,7271,322
33,11187,1.195,3,10767,7271,322
34,11187,1.195,3,10767,7271,322
35,11187,1.195,3,10767,7271,322
36,11187,1.195,3,10767,7271,322
37,11187,1.195,3,10767,7271,322
38,11187,1.195,3,10767,7271,322
39,11187,1.195,3,10767,7271,322
40,11187,1.195,3,10767,7271,322
41,11187,1.195,3,10767,7271,322
42,11187,1.195,3,10767,7271,322
43,11187,1.195,3,10767,7271,322
44,11187,1.195,3,10767,7271,322
45,11187,1.195,3,10767,7271,322
46,11187,1.195,3,10767,7271,322
47,11187,1.195,3,10767,7271,322
48,11187,1.195,3,10767,7271,322
49,11187,1.195,3,10767,7271,322
50,11187,1.195,3,10767,7271,322
51,11187,1.195,3,10767,7271,322
52,11187,1.195,3,10767,7271,322
53,11187,1.195,3,10767,7271,322
54,11187,1.195,3,10767,7271,322
55,11187,1.195,3,10767,7271,322
56,11187,1.195,3,10767,7271,322
57,11187,1.195,3,10767,7271,322
58,11187,1.195,3,10767,7271,322
59,11187,1.195,3,10767,7271,322
60,11187,1.195,3,10767,7271,322
61,11187,1.195,3,10767,7271,322
62,11187,1.195,3,10767,7271,322
63,11187,1.195,3,10767,7271,322
64,11187,1.195,3,10767,7271,322
65,11187,1.195,3,10767,7271,322
66,11187,1.195,3,10767,7271,322
67,11187,1.195,3,10767,7271,322
68,11187,1.195,3,10767,7271,322
69,11187,1.195,3,10767,7271,322
70,11187,1.195,3,10767,7271,322
71,11187,1.195,3,10767,7271,322
72,11187,1.195,3,10767,7271,322
73,11187,1.195,3,10767,7271,322
74,11187,1.195,3,10767,7271,322
75,11187,1.195,3,10767,7271,322
76,11187,1.195,3,10767,7271,322
77,11187,1.195,3,10767,7271,322
78,11187,1.195,3,10767,7271,322
79,11187,1.195,3,10767,7271,322
80,11187,1.195,3,10767,7271,322
81,11187,1.195,3,10767,7271,322
82,11187,1.195,3,10767,7271,322
83,11187,1.195,3,10767,7271,322
84,11187,1.195,3,10767,7271,322
85,11187,1.195,3,10767,7271,322
86,11187,1.195,3,10767,7271,322
87,11187,1.195,3,10767,7271,322
88,11187,1.195,3,10767,7271,322
89,11187,1.195,3,10767,7271,322
90,11187,1.195,3,10767,7271,322
91,11187,1.195,3,10767,7271,322
92,11187,1.195,3,10767,7271,322
93,11187,1.195,3,10767,7271,322
94,11187,1.195,3,10767,7271,322
95,11187,1.195,3,10767,7271,322
96,11187,1.195,3,10767,7271,322
97,11187,1.195,3,10767,7271,322
98,11187,1.195,3,10767,7271,322
99,11187,1.195,3,10767,7271,322
100,11187,1.195,3,10767,7271,322
101,11187,1.195,3,10767,7271,322
102,11187,1.195,3,10767,7271,322
103,11187,1.195,3,10767,7271,322
104,11187,1.195,3,10767,7271,322
105,11187,1.195,3,10767,7271,322
106,11187,1.195,3,10767,7271,322
107,11187,1.195,3,10767,7271,322
108,11187,1.195,3,10767,7271,322
109,11187,1.195,3,10767,7271,322
110,11187,1.195,3,10767,7271,322
111,11187,1.195,3,10767,7271,322
112,11187,1.195,3,10767,7271,322
113,11187,1.195,3,10767,7271,322
114,11187,1.195,3,10767,7271,322
115,11187,1.195,3,10767,7271,322
116,11187,1.195,3,10767,7271,322
117,11187,1.195,3,10767,7271,322
118,11187,1.195,3,10767,7271,322
119,58534,1.195,4,35541,39727,322
