generation,id,fitness,species,parent1,parent2,timestep
0,339,0.6694588053464727,1,-1,-1,400
1,907,0.9648137143524999,1,313,30,400
2,907,0.9648137143524999,3,313,30,400
3,907,0.9648137143524999,1,313,30,400
4,907,0.9648137143524999,1,313,30,400
5,907,0.9648137143524999,1,313,30,400
6,907,0.9648137143524999,4,313,30,400
7,907,0.9648137143524999,1,313,30,400
8,907,0.9648137143524999,1,313,30,400
9,907,0.9648137143524999,1,313,30,400
10,5378,0.9747079673459076,4,3910,4858,400
11,5378,0.9747079673459076,1,3910,4858,400
12,5378,0.9747079673459076,1,3910,4858,400
13,5378,0.9747079673459076,4,3910,4858,400
14,5378,0.9747079673459076,4,3910,4858,400
15,5378,0.9747079673459076,4,3910,4858,400
16,5378,0.9747079673459076,4,3910,4858,400
17,5378,0.9747079673459076,4,3910,4858,400
18,5378,0.9747079673459076,4,3910,4858,400
19,5378,0.9747079673459076,4,3910,4858,400
20,5378,0.9747079673459076,4,3910,4858,400
21,5378,0.9747079673459076,4,3910,4858,400
22,11175,1.0,1,10763,10794,382
23,11175,1.0,1,10763,10794,382
24,11175,1.0,1,10763,10794,382
25,11175,1.0,1,10763,10794,382
26,11175,1.0,1,10763,10794,382
27,13103,1.0,1,12599,12543,382
28,13654,1.0,1,13205,12538,383
29,13654,1.0,1,13205,12538,383
30,13654,1.0,1,13205,12538,383
31,13654,1.0,1,13205,12538,383
32,13654,1.0,1,13205,12538,383
33,13654,1.0,1,13205,12538,383
34,13654,1.0,1,13205,12538,383
35,13654,1.0,1,13205,12538,383
36,17522,1.0,1,17053,17023,324
37,13654,1.0,1,13205,12538,383
38,17522,1.0,1,17053,17023,324
39,13654,1.0,1,13205,12538,383
40,19488,1.0,1,13654,19003,400
41,19488,1.0,1,13654,19003,400
42,19488,1.0,1,13654,19003,400
43,19488,1.0,1,13654,19003,400
44,19488,1.0,1,13654,19003,400
45,19488,1.0,1,13654,19003,400
46,19488,1.0,1,13654,19003,400
47,19488,1.0,1,13654,19003,400
48,19488,1.0,1,13654,19003,400
49,19488,1.0,1,13654,19003,400
50,19488,1.0,1,13654,19003,400
51,19488,1.0,1,13654,19003,400
52,19488,1.0,1,13654,19003,400
53,19488,1.0,1,13654,19003,400
54,19488,1.0,1,13654,19003,400
55,19488,1.0,1,13654,19003,400
56,19488,1.0,1,13654,19003,400
57,19488,1.0,1,13654,19003,400
58,19488,1.0,1,13654,19003,400
59,19488,1.0,1,13654,19003,400
60,19488,1.0,1,13654,19003,400
61,19488,1.0,1,13654,19003,400
62,19488,1.0,1,13654,19003,400
63,19488,1.0,1,13654,19003,400
64,19488,1.0,1,13654,19003,400
65,19488,1.0,1,13654,19003,400
66,19488,1.0,1,13654,19003,400
67,19488,1.0,1,13654,19003,400
68,19488,1.0,1,13654,19003,400
69,19488,1.0,1,13654,19003,400
70,19488,1.0,1,13654,19003,400
71,19488,1.0,1,13654,19003,400
72,19488,1.0,1,13654,19003,400
73,19488,1.0,1,13654,19003,400
74,19488,1.0,1,13654,19003,400
75,19488,1.0,1,13654,19003,400
76,19488,1.0,1,13654,19003,400
77,19488,1.0,1,13654,19003,400
78,19488,1.0,1,13654,19003,400
79,19488,1.0,1,13654,19003,400
80,19488,1.0,1,13654,19003,400
81,19488,1.0,1,13654,19003,400
82,19488,1.0,1,13654,19003,400
83,19488,1.0,1,13654,19003,400
84,19488,1.0,1,13654,19003,400
85,19488,1.0,1,13654,19003,400
86,19488,1.0,1,13654,19003,400
87,19488,1.0,1,13654,19003,400
88,19488,1.0,1,13654,19003,400
89,19488,1.0,1,13654,19003,400
90,19488,1.0,1,13654,19003,400
