generation,id,fitness,species,parent1,parent2,timestep
0,339,0.6694588053464727,1,-1,-1,400
1,907,0.9648137143524999,1,313,30,400
2,907,0.9648137143524999,3,313,30,400
3,907,0.9648137143524999,1,313,30,400
4,907,0.9648137143524999,1,313,30,400
5,907,0.9648137143524999,1,313,30,400
6,907,0.9648137143524999,4,313,30,400
7,907,0.9648137143524999,1,313,30,400
8,907,0.9648137143524999,1,313,30,400
9,907,0.9648137143524999,1,313,30,400
10,5378,0.9747079673459076,4,3910,4858,400
11,5378,0.9747079673459076,1,3910,4858,400
12,5378,0.9747079673459076,1,3910,4858,400
13,5378,0.9747079673459076,4,3910,4858,400
14,5378,0.9747079673459076,4,3910,4858,400
15,5378,0.9747079673459076,4,3910,4858,400
16,5378,0.9747079673459076,4,3910,4858,400
17,5378,0.9747079673459076,4,3910,4858,400
18,5378,0.9747079673459076,4,3910,4858,400
19,5378,0.9747079673459076,4,3910,4858,400
20,5378,0.9747079673459076,4,3910,4858,400
21,5378,0.9747079673459076,4,3910,4858,400
22,11175,1.045,1,10763,10794,382
23,11599,1.045,4,11252,11180,382
24,11599,1.045,4,11252,11180,382
25,11175,1.045,1,10763,10794,382
26,12648,1.045,1,11747,12179,382
27,12648,1.045,1,11747,12179,382
28,12648,1.045,1,11747,12179,382
29,12648,1.045,1,11747,12179,382
30,12648,1.045,1,11747,12179,382
31,15536,1.155,1,15001,15008,338
32,15536,1.155,1,15001,15008,338
33,15536,1.155,1,15001,15008,338
34,17112,1.19,1,16660,16586,324
35,17112,1.19,1,16660,16586,324
36,18066,1.195,1,17597,17112,322
37,18066,1.195,1,17597,17112,322
38,18066,1.195,1,17597,17112,322
39,18066,1.195,1,17597,17112,322
40,18066,1.195,1,17597,17112,322
41,18066,1.195,1,17597,17112,322
42,18066,1.195,1,17597,17112,322
43,18066,1.195,1,17597,17112,322
44,18066,1.195,1,17597,17112,322
45,18066,1.195,1,17597,17112,322
46,18066,1.195,1,17597,17112,322
47,18066,1.195,1,17597,17112,322
48,18066,1.195,1,17597,17112,322
49,18066,1.195,1,17597,17112,322
50,18066,1.195,1,17597,17112,322
51,18066,1.195,1,17597,17112,322
52,18066,1.195,1,17597,17112,322
53,18066,1.195,1,17597,17112,322
54,18066,1.195,1,17597,17112,322
55,18066,1.195,1,17597,17112,322
56,18066,1.195,1,17597,17112,322
57,18066,1.195,1,17597,17112,322
58,18066,1.195,1,17597,17112,322
59,18066,1.195,1,17597,17112,322
60,18066,1.195,1,17597,17112,322
61,18066,1.195,1,17597,17112,322
62,18066,1.195,1,17597,17112,322
63,18066,1.195,1,17597,17112,322
64,18066,1.195,1,17597,17112,322
65,18066,1.195,1,17597,17112,322
66,18066,1.195,1,17597,17112,322
67,18066,1.195,1,17597,17112,322
68,18066,1.195,1,17597,17112,322
69,18066,1.195,1,17597,17112,322
70,18066,1.195,1,17597,17112,322
71,18066,1.195,1,17597,17112,322
72,18066,1.195,1,17597,17112,322
73,18066,1.195,1,17597,17112,322
74,18066,1.195,1,17597,17112,322
75,18066,1.195,1,17597,17112,322
76,18066,1.195,1,17597,17112,322
77,18066,1.195,1,17597,17112,322
78,18066,1.195,1,17597,17112,322
79,18066,1.195,1,17597,17112,322
80,18066,1.195,1,17597,17112,322
81,18066,1.195,1,17597,17112,322
82,18066,1.195,1,17597,17112,322
83,18066,1.195,1,17597,17112,322
84,18066,1.195,1,17597,17112,322
85,18066,1.195,1,17597,17112,322
86,18066,1.195,1,17597,17112,322
87,18066,1.195,1,17597,17112,322
88,43345,1.195,4,42856,42928,322
89,43345,1.195,4,42856,42928,322
90,43345,1.195,4,42856,42928,322
